#Release 9.1i - par J.30
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Sat Aug 01 17:40:56 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       CPU_map.ncd
#OUTPUT FILE:      CPU_pad.csv
#PART TYPE:        xcv200
#SPEED GRADE:      -4
#PACKAGE:          pq240
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,,
P2,,,TMS,,,,,,,,,,,,,
P3,faddr<12>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P4,faddr<11>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P5,faddr<10>,IOB,IO_VREF_7,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P6,faddr<9>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P7,faddr<8>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P8,,,GND,,,,,,,,,,,,,
P9,fdata<7>,IOB,IO_VREF_7,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P10,fdata<6>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P11,fdata<5>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P12,fdata<4>,IOB,IO_VREF_7,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P13,fdata<3>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P14,,,GND,,,,,,,,,,,,,
P15,,,VCCO,,,0,,,,,3.30,,,,,
P16,,,VCCINT,,,,,,,,2.5,,,,,
P17,fdata<2>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P18,fdata<1>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P19,fdata<0>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P20,fdata<15>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P21,fdata<14>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P22,,,GND,,,,,,,,,,,,,
P23,fdata<13>,IOB,IO_VREF_7,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P24,fdata<12>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P25,fdata<11>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P26,fdata<10>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P27,fdata<9>,IOB,IO,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P28,fdata<8>,IOB,IO_IRDY,OUTPUT,LVTTL,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P29,,,GND,,,,,,,,,,,,,
